speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:06,happy,"{'angry': 0.00539091182872653, 'calm': 0.0014458638615906239, 'disgust': 0.00390967633575201, 'fearful': 0.012672276236116886, 'happy': 0.8602839112281799, 'sad': 0.0007838626625016332, 'surprised': 0.11551348865032196}","Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:06,00:00:09,sad,"{'angry': 0.00135413755197078, 'calm': 0.0024107766803354025, 'disgust': 0.11400973051786423, 'fearful': 0.20608071982860565, 'happy': 0.002633362775668502, 'sad': 0.6724575757980347, 'surprised': 0.0010537971975281835}",(hollering) We play Dungeons & Dragons!
MATT,00:00:09,00:00:16,happy,"{'angry': 0.004474337212741375, 'calm': 0.0020388562697917223, 'disgust': 0.0028158510103821754, 'fearful': 0.0076246103271842, 'happy': 0.6094576716423035, 'sad': 0.0009067024802789092, 'surprised': 0.37268197536468506}","There you have it. Before we jump into tonight's episode, we do have some announcements to get through, beginning with the first of our two sponsors tonight. Sam?"
TALIESIN,00:00:16,00:00:29,angry,"{'angry': 0.5113519430160522, 'calm': 0.0010097638005390763, 'disgust': 0.010422896593809128, 'fearful': 0.006566840223968029, 'happy': 0.4673726260662079, 'sad': 0.00014069520693738014, 'surprised': 0.0031352879013866186}","Thank you, Matt. This episode is brought to you by Elderwood Academy, makers of quality gaming themed gear, including spell books, deck boxes, dice towers, rolling trays and a whole lot more. They specialize in--"
SAM,00:00:29,00:00:38,happy,"{'angry': 0.24339208006858826, 'calm': 0.0019911625422537327, 'disgust': 0.3408868908882141, 'fearful': 0.021704668179154396, 'happy': 0.38320720195770264, 'sad': 0.00258279568515718, 'surprised': 0.006235131062567234}","Whoa, whoa, whoa, whoa, whoa. What is going on? Taliesin, Elderwood Academy wants me, Sam Riegel, to do the sponsorship tonight, a-heh, and not you, okay?"
TALIESIN,00:00:38,00:00:39,disgust,"{'angry': 0.2027590125799179, 'calm': 0.0008885436109267175, 'disgust': 0.4889274835586548, 'fearful': 0.0823342353105545, 'happy': 0.11439013481140137, 'sad': 0.00996606145054102, 'surprised': 0.10073450952768326}",What are you talking about? I am Sam Riegel.
SAM,00:00:39,00:00:42,happy,"{'angry': 0.03359725698828697, 'calm': 0.0010745441541075706, 'disgust': 0.08500482887029648, 'fearful': 0.010022882372140884, 'happy': 0.8454428315162659, 'sad': 0.0010213106870651245, 'surprised': 0.023836322128772736}",What?!
TALIESIN,00:00:42,00:00:46,happy,"{'angry': 0.003784212749451399, 'calm': 0.000998874893411994, 'disgust': 0.0017507077427580953, 'fearful': 0.004555896855890751, 'happy': 0.9704427719116211, 'sad': 0.00019262578280176967, 'surprised': 0.01827497035264969}",Can't you tell by my inane smile and my spongy feeble hands?
SAM,00:00:46,00:00:53,happy,"{'angry': 0.006061682477593422, 'calm': 0.0008942136773839593, 'disgust': 0.0022129565477371216, 'fearful': 0.002646634355187416, 'happy': 0.9808727502822876, 'sad': 0.00011062713747378439, 'surprised': 0.0072011444717645645}","No, no, no, no, nice try, but come on, everybody here knows that I'm the real Sam Riegel, right, guys? I mean..."
TRAVIS,00:00:53,00:01:02,sad,"{'angry': 0.00041462178342044353, 'calm': 0.0027997384313493967, 'disgust': 0.032150231301784515, 'fearful': 0.2413981854915619, 'happy': 0.00287206401117146, 'sad': 0.7167234420776367, 'surprised': 0.0036417869850993156}","Uh. I don't know. I'm actually having a hard time telling who is who. I mean, you both seem really bad at sports."
SAM,00:01:02,00:01:07,happy,"{'angry': 0.008324372582137585, 'calm': 0.0007425498915836215, 'disgust': 0.0016683362191542983, 'fearful': 0.003443937748670578, 'happy': 0.983477771282196, 'sad': 7.494507735827938e-05, 'surprised': 0.0022681420668959618}","Okay, okay. Look, it's me. I mean, look, look at my cow-sized teeth."
TALIESIN,00:01:07,00:01:12,happy,"{'angry': 0.02227518893778324, 'calm': 0.0009235784527845681, 'disgust': 0.04436007887125015, 'fearful': 0.009524398483335972, 'happy': 0.9164851903915405, 'sad': 0.0006151302950456738, 'surprised': 0.005816485267132521}","No, no, I'm Sam. Look at my lack of human emotion and overwhelming hubris."
LAURA,00:01:12,00:01:15,disgust,"{'angry': 0.0014191149966791272, 'calm': 0.001246423227712512, 'disgust': 0.5202621221542358, 'fearful': 0.040421586483716965, 'happy': 0.0013438244350254536, 'sad': 0.4330736994743347, 'surprised': 0.0022332181688398123}","Yeah, this is tough. I mean, they're both really annoying."
TRAVIS,00:01:15,00:01:16,sad,"{'angry': 0.00021865179587621242, 'calm': 0.001824849285185337, 'disgust': 0.05740594118833542, 'fearful': 0.08158378303050995, 'happy': 0.0011115740053355694, 'sad': 0.8545331954956055, 'surprised': 0.003321960801258683}","Yeah, yeah."
LAURA,00:01:16,00:01:25,happy,"{'angry': 0.20790210366249084, 'calm': 0.00221207900904119, 'disgust': 0.10979317128658295, 'fearful': 0.02404209040105343, 'happy': 0.6515727043151855, 'sad': 0.00136265077162534, 'surprised': 0.0031151343137025833}","Oh, I know. Let's ask them questions to prove which one's the imposter. Okay. Candidate A, how much does a carton of milk cost?"
TALIESIN,00:01:25,00:01:30,fearful,"{'angry': 0.04895605519413948, 'calm': 0.0011535331141203642, 'disgust': 0.016753394156694412, 'fearful': 0.5806547999382019, 'happy': 0.345549076795578, 'sad': 0.003970449324697256, 'surprised': 0.0029626768082380295}","Well, not very much, somewhere between $100 to $400, I presume."
LIAM,00:01:30,00:01:38,happy,"{'angry': 0.07778807729482651, 'calm': 0.001806587097235024, 'disgust': 0.0570124052464962, 'fearful': 0.006799804046750069, 'happy': 0.8218255043029785, 'sad': 0.0007463509682565928, 'surprised': 0.034021321684122086}","I mean, that sounds like Sam; he's never done his own shopping. Candidate B, what is something you'd say to your pet dog?"
SAM,00:01:38,00:01:51,happy,"{'angry': 0.10267990082502365, 'calm': 0.0006120397010818124, 'disgust': 0.012272809632122517, 'fearful': 0.008853727951645851, 'happy': 0.8667458295822144, 'sad': 0.00020487626898102462, 'surprised': 0.008630846627056599}","Oh, well, that's a simple question. You run their hand across their, I want to say hair and you call them an excellent canine and then fetch your butler to go disinfect your hands right afterwards."
MARISHA,00:01:51,00:02:01,happy,"{'angry': 0.20939844846725464, 'calm': 0.0035157126840204, 'disgust': 0.032628946006298065, 'fearful': 0.006429722998291254, 'happy': 0.7452150583267212, 'sad': 0.00041544088162481785, 'surprised': 0.002396645024418831}","Yeah, you know, Sam is terrible with animals. So that actually does track. Candidate A, if you could have lunch with any celebrity, living or dead, who would it be?"
TALIESIN,00:02:01,00:02:04,happy,"{'angry': 0.011300267651677132, 'calm': 0.000851508928462863, 'disgust': 0.003880211617797613, 'fearful': 0.0035696427803486586, 'happy': 0.919508695602417, 'sad': 0.00020815209427382797, 'surprised': 0.06068149581551552}","Myself, of course. What a stupid question, Marisha."
