speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:06,Sad,"{'Anger': 0.0007484293892048299, 'Calm': 0.004226819612085819, 'Disgust': 0.048254214227199554, 'Fear': 0.2761428952217102, 'Happy': 0.01806006208062172, 'Neutral': 0.004346710164099932, 'Sad': 0.6453384757041931, 'Surprised': 0.002882378874346614}","Hello, and welcome to Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
TRAVIS,00:00:06,00:00:10,Sad,"{'Anger': 0.00044679007260128856, 'Calm': 0.006734353955835104, 'Disgust': 0.06480485945940018, 'Fear': 0.017560485750436783, 'Happy': 0.00105901004280895, 'Neutral': 0.003109385957941413, 'Sad': 0.9040583372116089, 'Surprised': 0.002226820681244135}",(hollering) We play Dungeons & Dragons!
LAURA,00:00:10,00:00:11,Sad,"{'Anger': 0.00020385616517160088, 'Calm': 0.004874512553215027, 'Disgust': 0.004715271759778261, 'Fear': 0.061907727271318436, 'Happy': 0.0007397626177407801, 'Neutral': 0.0025644153356552124, 'Sad': 0.9233599901199341, 'Surprised': 0.0016344625037163496}",Oh my god.
ASHLEY,00:00:11,00:00:13,Sad,"{'Anger': 0.000819810142274946, 'Calm': 0.006490055005997419, 'Disgust': 0.09022040665149689, 'Fear': 0.12209440022706985, 'Happy': 0.016886338591575623, 'Neutral': 0.004602567758411169, 'Sad': 0.7552139163017273, 'Surprised': 0.003672548569738865}",Oh man!
SAM,00:00:13,00:00:15,Sad,"{'Anger': 0.00019711632921826094, 'Calm': 0.004283895716071129, 'Disgust': 0.008683633990585804, 'Fear': 0.03859589621424675, 'Happy': 0.0010609003948047757, 'Neutral': 0.0024739529471844435, 'Sad': 0.943429708480835, 'Surprised': 0.0012749023735523224}",Oh man.
MATT,00:00:15,00:00:38,Disgust,"{'Anger': 0.006726154591888189, 'Calm': 0.0016088854754343629, 'Disgust': 0.9711732268333435, 'Fear': 0.0021286369301378727, 'Happy': 0.006609307136386633, 'Neutral': 0.003719398519024253, 'Sad': 0.006407283246517181, 'Surprised': 0.001626931712962687}","Missed you guys so much. Thank you, all, so much for your patience, as we all adjusted to this pandemic. We kept ourselves and our crew safe and healthy and worked on a process of getting us to this optimal setup, which was brainstormed and developed by our fantastic production team. Thank you so much to our production team and Marisha."
TRAVIS,00:00:38,00:00:39,Sad,"{'Anger': 0.00047952934983186424, 'Calm': 0.0037365914322435856, 'Disgust': 0.05612289905548096, 'Fear': 0.05108034610748291, 'Happy': 0.007826116867363453, 'Neutral': 0.00989212840795517, 'Sad': 0.8698177933692932, 'Surprised': 0.001044587348587811}","Yes, yes, yes! Yeah, snap."
MATT,00:00:39,00:01:00,Disgust,"{'Anger': 0.004658595193177462, 'Calm': 0.0016680308617651463, 'Disgust': 0.9587611556053162, 'Fear': 0.004132668487727642, 'Happy': 0.013720978982746601, 'Neutral': 0.004685303661972284, 'Sad': 0.01098603568971157, 'Surprised': 0.001387312076985836}","The content team's working so hard throughout this time to get us back here in a very safe manner. And thank you for your patience, guys, sincerely. This is really exciting. It's not until-- and I'm sure some of you can speak to this, too-- it's not until this is taken from you that you realize how important of a rock it is in your weekly life, let alone daily life and--"
LIAM,00:01:00,00:01:02,Sad,"{'Anger': 0.0007690730853937566, 'Calm': 0.0036368807777762413, 'Disgust': 0.036480966955423355, 'Fear': 0.0974094346165657, 'Happy': 0.04026845470070839, 'Neutral': 0.06126074120402336, 'Sad': 0.7592542767524719, 'Surprised': 0.0009202510118484497}",Straight up.
MATT,00:01:02,00:01:04,Sad,"{'Anger': 0.0003633353335317224, 'Calm': 0.0035353314597159624, 'Disgust': 0.03648826479911804, 'Fear': 0.04392506554722786, 'Happy': 0.0029192501679062843, 'Neutral': 0.007473126985132694, 'Sad': 0.9041756391525269, 'Surprised': 0.0011199560249224305}",(sighs) I'm so happy to be back here with you guys.
LIAM,00:01:04,00:01:06,Disgust,"{'Anger': 0.0013362779282033443, 'Calm': 0.0039252606220543385, 'Disgust': 0.5860964059829712, 'Fear': 0.02963043935596943, 'Happy': 0.00435673026368022, 'Neutral': 0.0040465472266077995, 'Sad': 0.36846160888671875, 'Surprised': 0.0021467688493430614}",Yeah.
TRAVIS,00:01:06,00:01:08,Disgust,"{'Anger': 0.003538360120728612, 'Calm': 0.0029511903412640095, 'Disgust': 0.8974596858024597, 'Fear': 0.013320947997272015, 'Happy': 0.05081931874155998, 'Neutral': 0.00417339988052845, 'Sad': 0.02416500635445118, 'Surprised': 0.0035720800515264273}",How do we do this? (laughter)
LAURA,00:01:08,00:01:10,Sad,"{'Anger': 0.0002977144322358072, 'Calm': 0.004049941897392273, 'Disgust': 0.010951546020805836, 'Fear': 0.12274095416069031, 'Happy': 0.001640216913074255, 'Neutral': 0.0022314395755529404, 'Sad': 0.8561344146728516, 'Surprised': 0.0019536910112947226}",I'm so nervous.
MATT,00:01:10,00:01:14,Disgust,"{'Anger': 0.006835435517132282, 'Calm': 0.004440303426235914, 'Disgust': 0.7130680084228516, 'Fear': 0.022491367533802986, 'Happy': 0.22067512571811676, 'Neutral': 0.0056573874317109585, 'Sad': 0.01918063685297966, 'Surprised': 0.007651762571185827}",That's the crazy thing about D&D. You just kind of improvise.
MATT,00:01:14,00:01:41,Happy,"{'Anger': 0.008097139187157154, 'Calm': 0.0030590032692998648, 'Disgust': 0.02280922420322895, 'Fear': 0.01139762345701456, 'Happy': 0.9393311142921448, 'Neutral': 0.004125690553337336, 'Sad': 0.002263466129079461, 'Surprised': 0.008916703052818775}","Just figure it out, you'll be fine. Quick housekeeping note, we will not be hosting a giveaway at the break, as we have previously. For the time being, at least, we won't be doing that. And we'll let you know whenever that changes. But big thanks to our friends at Wyrmwood for helping us make our break times for the show so epic, for as long as they have been around. We really appreciate it. You guys are awesome. Let's see, we have some announcements. We'll begin-- Sam, you had something you wanted to mention."
SAM,00:01:41,00:01:56,Disgust,"{'Anger': 0.0028167911805212498, 'Calm': 0.0068139866925776005, 'Disgust': 0.48429352045059204, 'Fear': 0.09794434905052185, 'Happy': 0.02270987257361412, 'Neutral': 0.0064588263630867004, 'Sad': 0.37349382042884827, 'Surprised': 0.005468838848173618}","Yes, there's no-- (clears throat) There's no sponsor for tonight, but if I don't speak for a minute at the top of the show, I have no purpose in life. (laughter) So rather than wither into a husk, I wrote a poem. (clears throat)"
TRAVIS,00:01:56,00:01:58,Fear,"{'Anger': 0.0006189304986037314, 'Calm': 0.0017962825950235128, 'Disgust': 0.011087440885603428, 'Fear': 0.7012876868247986, 'Happy': 0.0060292924754321575, 'Neutral': 0.002930869348347187, 'Sad': 0.2748798727989197, 'Surprised': 0.0013696241658180952}",Oh no.
SAM,00:01:58,00:03:06,Happy,"{'Anger': 0.013566499575972557, 'Calm': 0.005238021723926067, 'Disgust': 0.21172113716602325, 'Fear': 0.037801094353199005, 'Happy': 0.7004189491271973, 'Neutral': 0.005872687324881554, 'Sad': 0.011877303943037987, 'Surprised': 0.01350432075560093}","This isn't an ad. There's no sponsor today, just some friends and some dice, here to laugh and to play. It's scary outside, filled with hard news and strife. But in here, Fjord sails us through a fantasy life, where we battle for gold and drink from a flagon, unless we get snapped up by a turtle or dragon. We know that reality's been quite pernicious, but you made it this far, and we're so glad you're with us. Us in our studio, you safe at home, and though we sit by ourselves, we don't feel alone. We're surrounded by love, of all colors and races, by Pride, by Black Lives, by Critters in all places. So thank you. Thanks to the techies, the staff, and the crew, but most importantly, thank you to you. While we were gone, you patiently wait. You guys are our antidote. You let us create. And so I raise a glass, and though we can't clink 'em, we can still toast, and we can still drink 'em. (laughter) We love all you Critters, and I'm happy to say, tonight, you're going to watch a really great TPK. (laughter) It's been a while--"
ALL,00:03:06,00:03:08,Disgust,"{'Anger': 0.004458578769117594, 'Calm': 0.00780142517760396, 'Disgust': 0.6858583092689514, 'Fear': 0.07613982260227203, 'Happy': 0.055720455944538116, 'Neutral': 0.005444634240120649, 'Sad': 0.15424016118049622, 'Surprised': 0.01033665332943201}",♪ It's been a while ♪
SAM,00:03:08,00:03:12,Disgust,"{'Anger': 0.04381055384874344, 'Calm': 0.012651464901864529, 'Disgust': 0.40332719683647156, 'Fear': 0.03225550800561905, 'Happy': 0.39003700017929077, 'Neutral': 0.0526060126721859, 'Sad': 0.052744828164577484, 'Surprised': 0.012567412108182907}","But in case you forget, you can always ask, is it Thursday yet? Cheers!"
ALL,00:03:12,00:03:13,Sad,"{'Anger': 0.0011623222380876541, 'Calm': 0.0062400116585195065, 'Disgust': 0.47062334418296814, 'Fear': 0.025178225710988045, 'Happy': 0.002797855529934168, 'Neutral': 0.003648865269497037, 'Sad': 0.48725995421409607, 'Surprised': 0.003089349251240492}",Oh!
LAURA,00:03:13,00:03:14,Sad,"{'Anger': 0.00020957177912350744, 'Calm': 0.004659532103687525, 'Disgust': 0.012149721384048462, 'Fear': 0.02996399998664856, 'Happy': 0.0016260293778032064, 'Neutral': 0.0029752105474472046, 'Sad': 0.9471760392189026, 'Surprised': 0.0012399161932989955}",Cheers!
MATT,00:03:14,00:03:17,Disgust,"{'Anger': 0.0031190761364996433, 'Calm': 0.009088367223739624, 'Disgust': 0.5062133073806763, 'Fear': 0.033413924276828766, 'Happy': 0.04734164848923683, 'Neutral': 0.014686614274978638, 'Sad': 0.3822048604488373, 'Surprised': 0.003932250663638115}","Love you, buddy."
TRAVIS,00:03:17,00:03:19,Sad,"{'Anger': 0.0003004993195645511, 'Calm': 0.0039085508324205875, 'Disgust': 0.021450020372867584, 'Fear': 0.048311177641153336, 'Happy': 0.0015327767468988895, 'Neutral': 0.0028069072868674994, 'Sad': 0.9202266931533813, 'Surprised': 0.001463389373384416}",You made the wizard cry before the game started.
MARISHA,00:03:19,00:03:21,Disgust,"{'Anger': 0.0021088197827339172, 'Calm': 0.0015373325441032648, 'Disgust': 0.9720504879951477, 'Fear': 0.003278076183050871, 'Happy': 0.0031613358296453953, 'Neutral': 0.002405006904155016, 'Sad': 0.013815904967486858, 'Surprised': 0.0016429199604317546}",I know. I'm all watery now.
MATT,00:03:21,00:03:23,Disgust,"{'Anger': 0.00212751398794353, 'Calm': 0.004500366281718016, 'Disgust': 0.6407757997512817, 'Fear': 0.0583529956638813, 'Happy': 0.031671129167079926, 'Neutral': 0.006544042378664017, 'Sad': 0.25290659070014954, 'Surprised': 0.003121635178104043}",Yeah.
TALIESIN,00:03:23,00:03:24,Happy,"{'Anger': 0.0033522923476994038, 'Calm': 0.001540754921734333, 'Disgust': 0.007361267693340778, 'Fear': 0.009078758768737316, 'Happy': 0.9702965021133423, 'Neutral': 0.003983854781836271, 'Sad': 0.0019257168751209974, 'Surprised': 0.0024608843959867954}",Goddamn.
