speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:07,happy,"{'angry': 0.003783846041187644, 'calm': 0.0007683043368160725, 'disgust': 0.0035737750586122274, 'fearful': 0.05752866715192795, 'happy': 0.9309805631637573, 'sad': 0.0006548570818267763, 'surprised': 0.0027100404258817434}","Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:07,00:00:11,sad,"{'angry': 0.0009170707198791206, 'calm': 0.001654336811043322, 'disgust': 0.06544914841651917, 'fearful': 0.1826067715883255, 'happy': 0.0013404276687651873, 'sad': 0.7469841837882996, 'surprised': 0.0010480270721018314}",(discordant yelling) We play Dungeons & Dragons!
MATT,00:00:11,00:00:22,surprised,"{'angry': 0.007616609800606966, 'calm': 0.0013014485593885183, 'disgust': 0.006013210862874985, 'fearful': 0.007798849139362574, 'happy': 0.3641742169857025, 'sad': 0.0011618672870099545, 'surprised': 0.6119338870048523}","You dick. Left hook. Before we jump into tonight's game, we do have some announcements to get through, beginning with our first of two sponsors, Cortex. Sam."
SAM,00:00:22,00:02:01,happy,"{'angry': 0.0348050631582737, 'calm': 0.00047811734839342535, 'disgust': 0.00338119943626225, 'fearful': 0.007816445082426071, 'happy': 0.9505621194839478, 'sad': 9.612772555556148e-05, 'surprised': 0.0028609451837837696}","From our fans-- nope. From our friends at Fandom, the people behind D&D Beyond, comes Cortex. It's not a new game, but rather a box of tools you can use to craft your own game, from hundreds of modular parts to best suit the way you and your friends like to play. Right now till December 31st, Critters can use the code-- I skipped a whole paragraph. Using a system-- (laughter) Using a system of dice and descriptive traits, you have the freedom to build within your favorite genres and worlds, from books, TVs, movies, and video games. And from now until December 31st, Critters can use the code, CORE20, at checkout to get a 20% discount on the digital edition of the book. Just go to cortexrpg.site, which is apparently a thing, /crcore, and grab a copy. Now, last time I used Cortex to develop my own horror game, Tax Code Carnage: IRS Annihilation, but Ivan and the folks at Darrington Press rejected my idea. So this week I'm going to pitch a new one, it's called Tea & Tea. Hold on. Steep yourself in an aromatic new RPG system. The first ever interactive tea-brewing adventure game! Play as three soothing character classes, Oolong, Assam, and if you're feeling nasty, Jasmine Matcha. (laughter) Balance tannins, soak up caffeine, and fight the evil forces of Lapsang Souchong. Super interactive! All you need is dice, a cup, hot water, and a thirst for excitement."
TRAVIS,00:02:01,00:02:02,surprised,"{'angry': 0.0020452493336051702, 'calm': 0.0006680029910057783, 'disgust': 0.0015223686350509524, 'fearful': 0.0018438402330502868, 'happy': 0.018889056518673897, 'sad': 0.0011025366839021444, 'surprised': 0.9739289879798889}",Oh Jesus.
SAM,00:02:02,00:02:24,angry,"{'angry': 0.7238612771034241, 'calm': 0.0006447804626077414, 'disgust': 0.06639958918094635, 'fearful': 0.015653790906071663, 'happy': 0.19006861746311188, 'sad': 0.0005446032737381756, 'surprised': 0.002827356569468975}","Tea & Tea is a truly immersive experience. Here, I'll demonstrate one of the modules right now. Oh no! The evil Earl Gray has flooded the realm with his undead bergamot bestiary. He's forcing us to eat scones without the créme fraíche. That is, until Rooibos the Red attacks."
ASHLEY,00:02:24,00:02:25,sad,"{'angry': 0.0004957160563208163, 'calm': 0.0015059063443914056, 'disgust': 0.025578616186976433, 'fearful': 0.222920224070549, 'happy': 0.0010138428770005703, 'sad': 0.7474479079246521, 'surprised': 0.0010377340950071812}",Oh!
SAM,00:02:25,00:02:45,happy,"{'angry': 0.006902094930410385, 'calm': 0.004510368686169386, 'disgust': 0.022466707974672318, 'fearful': 0.19062167406082153, 'happy': 0.7646716237068176, 'sad': 0.007730498909950256, 'surprised': 0.0030970838852226734}","Now, you roll a d4 to see how many minutes to steep. It's a four. And now we wait. (laughter) (laughter) I guess, I guess while we're waiting, what do you guys think?"
LAURA,00:02:45,00:02:48,disgust,"{'angry': 0.002437235787510872, 'calm': 0.0015740133821964264, 'disgust': 0.5861455798149109, 'fearful': 0.09109724313020706, 'happy': 0.004609077237546444, 'sad': 0.3119155168533325, 'surprised': 0.0022213971242308617}","You know, it was really good."
LIAM,00:02:48,00:02:50,disgust,"{'angry': 0.0048448797315359116, 'calm': 0.0005129011115059257, 'disgust': 0.9529255032539368, 'fearful': 0.011656445451080799, 'happy': 0.006642887368798256, 'sad': 0.02066733129322529, 'surprised': 0.002750075189396739}","Strong, this is strong."
SAM,00:02:50,00:02:58,happy,"{'angry': 0.0015132249100133777, 'calm': 0.001402547350153327, 'disgust': 0.0013150667073205113, 'fearful': 0.01549055241048336, 'happy': 0.9773358106613159, 'sad': 0.0003429699572734535, 'surprised': 0.0025998447090387344}","Okay! Well, I guess we'll check back later, see how it turns out. Until then, back to you, Matt."
MATT,00:02:58,00:03:00,surprised,"{'angry': 0.0017152426298707724, 'calm': 0.0006120763719081879, 'disgust': 0.0013802198227494955, 'fearful': 0.0012768025044351816, 'happy': 0.01160373818129301, 'sad': 0.0010233413195237517, 'surprised': 0.9823885560035706}","Thank you. No, I'm super--"
SAM,00:03:00,00:03:03,happy,"{'angry': 0.002067257883027196, 'calm': 0.0033863780554383993, 'disgust': 0.004675840958952904, 'fearful': 0.15560466051101685, 'happy': 0.7811063528060913, 'sad': 0.005940895527601242, 'surprised': 0.04721863940358162}",Thanks to Cortex for sponsoring the show.
MATT,00:03:03,00:03:08,happy,"{'angry': 0.005228912923485041, 'calm': 0.0018519391305744648, 'disgust': 0.0019186161225661635, 'fearful': 0.004662517458200455, 'happy': 0.9739407300949097, 'sad': 0.00022510826238431036, 'surprised': 0.012172152288258076}","Thank you, Cortex. I'm super excited to try out this game, and like, run a one-shot for all of 2021. (laughter)"
TRAVIS,00:03:08,00:03:12,disgust,"{'angry': 0.007626046892255545, 'calm': 0.0010249502956867218, 'disgust': 0.8723683953285217, 'fearful': 0.046574000269174576, 'happy': 0.014044624753296375, 'sad': 0.05393863841891289, 'surprised': 0.00442343158647418}","""For all of 2021."""
MATT,00:03:12,00:04:04,happy,"{'angry': 0.008086691610515118, 'calm': 0.0006663943640887737, 'disgust': 0.0033622756600379944, 'fearful': 0.007819079793989658, 'happy': 0.9721578359603882, 'sad': 0.00020065980788785964, 'surprised': 0.0077071404084563255}","But yes, thank you so much, Cortex, for sponsoring, our friends at Fandom. Our second sponsor tonight is NordVPN. This episode-- as you know, they are the sponsors of the-- providers of the highest quality of encryption for your internet traffic and they hide your IP and physical location on the internet. Right now, they have a special Christmas deal going on, with every purchase of a two-year plan, you get four additional months for free. That is four, that is the right numbers, of fingers I'm holding up. But you can go to nordvpn.com/criticalrole right now and use the coupon CriticalRole, one word, at checkout to take advantage of this great offer immediately. So I've been using them for over a year, they're fantastic, I recommend you do as well. Check it out when you can. NordVPN (deep exhale). For the rest of the announcements, we have a few things to go through. First, beginning with Marisha."
MARISHA,00:04:04,00:04:13,happy,"{'angry': 0.0029260029550641775, 'calm': 0.0024845972657203674, 'disgust': 0.0026234760880470276, 'fearful': 0.008006767369806767, 'happy': 0.9784529805183411, 'sad': 0.00043218553764745593, 'surprised': 0.005074002780020237}","Oh my goodness, you guys. I've got announcements on this paper. The most important one: This is our last episode of the year."
ALL,00:04:13,00:04:14,sad,"{'angry': 0.0002691018453333527, 'calm': 0.001700147520750761, 'disgust': 0.028201444074511528, 'fearful': 0.010788415558636189, 'happy': 0.0001523983373772353, 'sad': 0.9569297432899475, 'surprised': 0.0019587052520364523}",Aww!
MARISHA,00:04:14,00:04:29,happy,"{'angry': 0.1686021089553833, 'calm': 0.002840936416760087, 'disgust': 0.051673565059900284, 'fearful': 0.05020826682448387, 'happy': 0.7233273386955261, 'sad': 0.0015061022713780403, 'surprised': 0.0018415800295770168}","We're going on Christmas break or holiday break, or whatever you celebrate. We made it. Yeah. And we'll be returning for episode 121 on Thursday, January 14th, is our next episode back."
MARISHA,00:04:29,00:04:30,disgust,"{'angry': 0.0026917029172182083, 'calm': 0.0006294433260336518, 'disgust': 0.9760214686393738, 'fearful': 0.0028868557419627905, 'happy': 0.002692317822948098, 'sad': 0.013465248979628086, 'surprised': 0.0016129506984725595}",So.
MARISHA,00:04:30,00:04:32,happy,"{'angry': 0.002084624720737338, 'calm': 0.0017011506715789437, 'disgust': 0.0013317011762410402, 'fearful': 0.004315219819545746, 'happy': 0.9867854714393616, 'sad': 0.0001842478523030877, 'surprised': 0.003597614821046591}",We will see you then.
SAM,00:04:32,00:04:33,disgust,"{'angry': 0.023129791021347046, 'calm': 0.0008713055867701769, 'disgust': 0.6275429129600525, 'fearful': 0.009029165841639042, 'happy': 0.14471392333507538, 'sad': 0.005622134543955326, 'surprised': 0.18909065425395966}",To travel-- Nope.
