speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.0018583973869681358, 'calm': 0.001439211773686111, 'disgust': 0.0013119082432240248, 'fearful': 0.010701608844101429, 'happy': 0.9594777226448059, 'sad': 0.0004226620658300817, 'surprised': 0.024788549169898033}","Hello and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:08,sad,"{'angry': 0.00043762108543887734, 'calm': 0.0015908698551356792, 'disgust': 0.030240507796406746, 'fearful': 0.12117790430784225, 'happy': 0.0006854935782030225, 'sad': 0.8449356555938721, 'surprised': 0.0009320120443589985}",(hollering) We play Dungeons & Dragons!
MATT,00:00:08,00:00:23,happy,"{'angry': 0.004156629089266062, 'calm': 0.000837253755889833, 'disgust': 0.00144862849265337, 'fearful': 0.0033202634658664465, 'happy': 0.9837568998336792, 'sad': 0.00010859420581255108, 'surprised': 0.006371759343892336}","That one. It's been a few weeks. Happy to be back. Happy to see you guys. And before we hop into tonight's episode, we have a hefty chunk of announcements to get to because of that little delay. Beginning with the first of three sponsors tonight: Ravensburger. Sam."
SAM,00:00:23,00:01:00,happy,"{'angry': 0.019337067380547523, 'calm': 0.0004598599625751376, 'disgust': 0.0022625839337706566, 'fearful': 0.012848826125264168, 'happy': 0.9634299874305725, 'sad': 0.0001053207743098028, 'surprised': 0.0015563925262540579}","(lisping) Yeah, hello. This episode is sponsored by Ravensburger and The Princess Bride Adventure game. Worked together to control characters and complete each chapter's challenges. Game includes-- it's me, Vizzini. Game includes seven paintable miniatures, of Buttercup, Westley, Inigo Montoya, Fezzik and more! Flip through game boards as you retell the epic tale of The Princess Bride. Available now at Target and at bit.ly/CRPrincessBride. To celebrate, I would like to invite my best friend in the world, Liam O'Brien, to share a toast with me. A toast."
LIAM,00:01:00,00:01:05,happy,"{'angry': 0.012242869473993778, 'calm': 0.0005071837222203612, 'disgust': 0.0019233798375353217, 'fearful': 0.039050064980983734, 'happy': 0.9450339674949646, 'sad': 0.0001900017523439601, 'surprised': 0.001052551669999957}","No, no, no, why am I dressed like this? Wait, Princess Bride, goblet of wine-- are you trying to poison me?"
SAM,00:01:05,00:01:10,disgust,"{'angry': 0.03420012816786766, 'calm': 0.0008979362319223583, 'disgust': 0.881899356842041, 'fearful': 0.025448162108659744, 'happy': 0.03863205760717392, 'sad': 0.01282539963722229, 'surprised': 0.006096998695284128}",Why don't you sniff your glass and tell me?
LIAM,00:01:10,00:01:16,fearful,"{'angry': 0.004811054095625877, 'calm': 0.09847534447908401, 'disgust': 0.04639367386698723, 'fearful': 0.45269742608070374, 'happy': 0.06737549602985382, 'sad': 0.3280438184738159, 'surprised': 0.00220317579805851}",The best impressions are the ones where you have to say the name of the character that you're doing. (laughter)
LIAM,00:01:16,00:01:18,disgust,"{'angry': 0.0034146420657634735, 'calm': 0.021257583051919937, 'disgust': 0.5415250658988953, 'fearful': 0.0495966412127018, 'happy': 0.015491495840251446, 'sad': 0.36655956506729126, 'surprised': 0.002154997084289789}",I do not smell anything.
SAM,00:01:18,00:01:29,happy,"{'angry': 0.10819046944379807, 'calm': 0.0006550843827426434, 'disgust': 0.006477832794189453, 'fearful': 0.10261879116296768, 'happy': 0.7799157500267029, 'sad': 0.00043466698843985796, 'surprised': 0.0017073438502848148}","Aha! What you do not smell is the residue from my gigantic flask. It is odorless, tasteless, dissolves instantly, and is among the most deadly poisons known to man."
LIAM,00:01:29,00:01:32,disgust,"{'angry': 0.013685929588973522, 'calm': 0.0015117619186639786, 'disgust': 0.8650240302085876, 'fearful': 0.04753781482577324, 'happy': 0.030766339972615242, 'sad': 0.037715695798397064, 'surprised': 0.0037584174424409866}",The disgusting foul flask that you never wash?
