speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:05,happy,"{'angry': 0.0002600681909825653, 'disgust': 5.79199731873814e-05, 'fearful': 0.00017417361959815025, 'happy': 0.9991777539253235, 'neutral': 7.87663520895876e-05, 'sad': 7.46080550015904e-05, 'surprised': 0.00017667433712631464}","Hello everyone, and welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons."
ALL,00:00:05,00:00:09,fearful,"{'angry': 0.0037228188011795282, 'disgust': 0.0018829847685992718, 'fearful': 0.7873616814613342, 'happy': 0.2043418437242508, 'neutral': 0.0004025455273222178, 'sad': 0.0005378079367801547, 'surprised': 0.001750354073010385}",(discordant yelling) We play Dungeons & Dragons!
MATT,00:00:09,00:00:17,happy,"{'angry': 0.0007561208913102746, 'disgust': 0.0001594285567989573, 'fearful': 0.006526147481054068, 'happy': 0.9875807762145996, 'neutral': 0.0002608532377053052, 'sad': 0.00024668677360750735, 'surprised': 0.004469950217753649}","Before we jump into tonight's episode, we do have some quick announcements to get through. Beginning with the sponsor of tonight's episode: Hot Topic. Sam! (cheering)"
SAM,00:00:17,00:02:20,happy,"{'angry': 0.0007910797139629722, 'disgust': 0.00037854802212677896, 'fearful': 0.0031802214216440916, 'happy': 0.9926395416259766, 'neutral': 0.00042379784281365573, 'sad': 0.00043819949496537447, 'surprised': 0.002148688305169344}","This episode is brought to you by Hot Topic. As some of you may remember, earlier this year-- this year? What a year. (laughter) Earlier this year, we had our first wave of apparel drop at Hot Topic, and we are excited to share the second wave. Now, apparel is fine, it's fine. But the best part about this Hot Topic gear is it's got so many more different uses than just wearing it on your body. You can life hack it! And, in fact, I took some of their sample apparel at my home and I life hacked it and showed you what else you can do with it. Let's roll that video right now. (cheerful music) (yelling) (blowing) Ow. Oh. Hmm. (sniffing) Almost. Uh-huh, yeah. Ah. Mm. (exhaling) Oh. Okay. (groaning) (groans) (exhales) (groaning)"
SAM,00:02:20,00:02:24,fearful,"{'angry': 0.00014395754260476679, 'disgust': 0.00010112414747709408, 'fearful': 0.9857054948806763, 'happy': 0.002023417968302965, 'neutral': 0.00013920599303673953, 'sad': 0.0003184035886079073, 'surprised': 0.011568346992135048}",It's so easy.
SAM,00:02:24,00:02:34,surprised,"{'angry': 8.565111056668684e-05, 'disgust': 4.530249862000346e-05, 'fearful': 0.0009199426858685911, 'happy': 0.001028589904308319, 'neutral': 0.00012484895705711097, 'sad': 8.158580749295652e-05, 'surprised': 0.9977140426635742}","Comb, and a brush, and a bowl full of... What? Hey. Kids?"
SAM,00:02:34,00:02:49,happy,"{'angry': 0.000256093917414546, 'disgust': 0.0001574108755448833, 'fearful': 0.0002386495325481519, 'happy': 0.9989141225814819, 'neutral': 0.00010521384683670476, 'sad': 0.00010375062993261963, 'surprised': 0.0002248469681944698}","Goodnight, noises everywhere. The end. Oh. (kisses) I love you, big guy. (cheering)"
SAM,00:02:49,00:02:53,happy,"{'angry': 0.00012826263264287263, 'disgust': 7.600491517223418e-05, 'fearful': 0.00012158263416495174, 'happy': 0.9994317889213562, 'neutral': 6.316658982541412e-05, 'sad': 0.00010959654173348099, 'surprised': 6.958073208807036e-05}",What a hilarious and unexpected video.
LIAM,00:02:53,00:02:56,happy,"{'angry': 0.00011366024409653619, 'disgust': 0.00019589814473874867, 'fearful': 0.0004021276836283505, 'happy': 0.9979454874992371, 'neutral': 0.00022023402561899275, 'sad': 0.0009005686733871698, 'surprised': 0.00022205259301699698}",Yeah. We totally just saw that just now.
SAM,00:02:56,00:03:21,happy,"{'angry': 0.001121115405112505, 'disgust': 0.0005770969437435269, 'fearful': 0.008866431191563606, 'happy': 0.969689130783081, 'neutral': 0.001080598565749824, 'sad': 0.0009154781582765281, 'surprised': 0.017750145867466927}","I wonder what it's going to be like. Anyway, thanks to my wife who may or may not have shot that. But it's not just clothing, we've added more characters. Nope. We've added-- they'll edit this out. We've added more categories beyond some awesome shirts, like drink wear, a journal, some pins, buttons, a cool d20 backpack hanger. Backpack hanger?"
